date,account_id,currency,balance,inflow,outflow,net_flow,day_of_week,day_of_week_num,is_weekend,day_of_month,is_month_end,bank_name,account_type
2025-01-20,ACC-001,COP,2926355012.42,28583779.22,146953069.49,-118369290.27000001,Monday,0,0,20,0,Banco Aurora,operational
2025-01-21,ACC-001,COP,2935141386.24,142166289.61,133379915.79,8786373.820000008,Tuesday,1,0,21,0,Banco Aurora,operational
2025-01-22,ACC-001,COP,2863401318.66,39220114.47,110960182.05,-71740067.58,Wednesday,2,0,22,0,Banco Aurora,operational
2025-01-23,ACC-001,COP,2850372643.11,94254997.05,107283672.6,-13028675.549999997,Thursday,3,0,23,0,Banco Aurora,operational
2025-01-24,ACC-001,COP,2890836050.66,147608598.0099997,107145190.46,40463407.5499997,Friday,4,0,24,0,Banco Aurora,operational
2025-01-25,ACC-001,COP,2932705076.65,83755727.69,41886701.71,41869025.98,Saturday,5,1,25,0,Banco Aurora,operational
2025-01-26,ACC-001,COP,2905271906.18,56390009.13,83823179.6,-27433170.46999999,Sunday,6,1,26,0,Banco Aurora,operational
2025-01-27,ACC-001,COP,2835521500.28,3.8743019104003906e-07,69750405.9,-69750405.89999962,Monday,0,0,27,0,Banco Aurora,operational
2025-01-28,ACC-001,COP,2841795459.79,51721850.65,45447891.14,6273959.509999998,Tuesday,1,0,28,0,Banco Aurora,operational
2025-01-29,ACC-001,COP,2710356483.09,65706413.79,197145390.49,-131438976.70000002,Wednesday,2,0,29,0,Banco Aurora,operational
2025-01-30,ACC-001,COP,2580658507.79,22642920.05,152340895.35,-129697975.3,Thursday,3,0,30,0,Banco Aurora,operational
2025-01-31,ACC-001,COP,2519683033.08,0.0,60975474.71,-60975474.71,Friday,4,0,31,1,Banco Aurora,operational
2025-02-01,ACC-001,COP,2490992078.52,40488349.82,69179304.37,-28690954.550000004,Saturday,5,1,1,0,Banco Aurora,operational
2025-02-02,ACC-001,COP,2483885237.31,74183399.35,81290240.57,-7106841.219999999,Sunday,6,1,2,0,Banco Aurora,operational
2025-02-03,ACC-001,COP,2485973360.17,52861730.65,50773607.789999865,2088122.8600001335,Monday,0,0,3,0,Banco Aurora,operational
2025-02-04,ACC-001,COP,2546213479.44,127901830.42,67661711.14,60240119.28,Tuesday,1,0,4,0,Banco Aurora,operational
2025-02-05,ACC-001,COP,2536874427.61,0.0,9339051.83,-9339051.83,Wednesday,2,0,5,0,Banco Aurora,operational
2025-02-06,ACC-001,COP,2441956444.51,17792858.03,112710841.13,-94917983.1,Thursday,3,0,6,0,Banco Aurora,operational
2025-02-07,ACC-001,COP,2403614088.72,81953629.44,120295985.23,-38342355.79000001,Friday,4,0,7,0,Banco Aurora,operational
2025-02-08,ACC-001,COP,2366490729.57,3169607.06,40292966.21,-37123359.15,Saturday,5,1,8,0,Banco Aurora,operational
2025-02-09,ACC-001,COP,2419910526.64,65409235.45,11989438.38,53419797.07,Sunday,6,1,9,0,Banco Aurora,operational
2025-02-10,ACC-001,COP,2482749624.54,100231195.94,37392098.0399999,62839097.900000095,Monday,0,0,10,0,Banco Aurora,operational
2025-02-11,ACC-001,COP,2478943820.59,51948193.71,55753997.66,-3805803.9499999955,Tuesday,1,0,11,0,Banco Aurora,operational
2025-02-12,ACC-001,COP,2369696014.9,257832.12,109505637.81,-109247805.69,Wednesday,2,0,12,0,Banco Aurora,operational
2025-02-13,ACC-001,COP,2336407919.91,43282359.07,76570454.06,-33288094.990000002,Thursday,3,0,13,0,Banco Aurora,operational
2025-02-14,ACC-001,COP,2333733637.2,98172745.13,100847027.84,-2674282.7100000083,Friday,4,0,14,0,Banco Aurora,operational
2025-02-15,ACC-001,COP,2376433412.76,66825593.92000042,24125818.36,42699775.56000042,Saturday,5,1,15,0,Banco Aurora,operational
2025-02-16,ACC-001,COP,2354119885.22,3368694.65,25682222.18,-22313527.53,Sunday,6,1,16,0,Banco Aurora,operational
2025-02-17,ACC-001,COP,2354119885.22,0.0,0.0,0.0,Monday,0,0,17,0,Banco Aurora,operational
2025-02-18,ACC-001,COP,2337479013.57,0.0,16640871.64,-16640871.64,Tuesday,1,0,18,0,Banco Aurora,operational
2025-02-19,ACC-001,COP,2409079109.4,93485967.04,21885871.21,71600095.83000001,Wednesday,2,0,19,0,Banco Aurora,operational
2025-02-20,ACC-001,COP,2303236769.7,49496785.56,155339125.26,-105842339.69999999,Thursday,3,0,20,0,Banco Aurora,operational
2025-02-21,ACC-001,COP,2235649464.82,48583096.14,116170401.02,-67587304.88,Friday,4,0,21,0,Banco Aurora,operational
2025-02-22,ACC-001,COP,2218515310.83,0.0,17134153.99,-17134153.99,Saturday,5,1,22,0,Banco Aurora,operational
2025-02-23,ACC-001,COP,2208922066.6,0.0,9593244.23,-9593244.23,Sunday,6,1,23,0,Banco Aurora,operational
2025-02-24,ACC-001,COP,2321594108.29,112672041.69,0.0,112672041.69,Monday,0,0,24,0,Banco Aurora,operational
2025-02-25,ACC-001,COP,2328366665.01,94861707.53,88089150.81,6772556.719999999,Tuesday,1,0,25,0,Banco Aurora,operational
2025-02-26,ACC-001,COP,2363632691.19,35266026.18,0.0,35266026.18,Wednesday,2,0,26,0,Banco Aurora,operational
2025-02-27,ACC-001,COP,2394455774.2999997,75171172.3,44348089.2,30823083.099999994,Thursday,3,0,27,0,Banco Aurora,operational
2025-02-28,ACC-001,COP,2402287085.29,85761995.67,77930684.68,7831310.989999995,Friday,4,0,28,1,Banco Aurora,operational
2025-03-01,ACC-001,COP,2510938597.54,125025763.63,16374251.37,108651512.25999999,Saturday,5,1,1,0,Banco Aurora,operational
2025-03-02,ACC-001,COP,2467544830.7,0.0,43393766.83,-43393766.83,Sunday,6,1,2,0,Banco Aurora,operational
2025-03-03,ACC-001,COP,2392334626.17,87597636.93,162807841.46,-75210204.53,Monday,0,0,3,0,Banco Aurora,operational
2025-03-04,ACC-001,COP,2416152720.8700004,121716677.54,97898582.83,23818094.71000001,Tuesday,1,0,4,0,Banco Aurora,operational
2025-03-05,ACC-001,COP,2571515324.19,160873663.18,5511059.86,155362603.32,Wednesday,2,0,5,0,Banco Aurora,operational
2025-03-06,ACC-001,COP,2584811627.6,36017187.97,22720884.57,13296303.399999999,Thursday,3,0,6,0,Banco Aurora,operational
2025-03-07,ACC-001,COP,2637166353.63,52354726.03,0.0,52354726.03,Friday,4,0,7,0,Banco Aurora,operational
2025-03-08,ACC-001,COP,2691582543.7,73520963.9,19104773.83,54416190.07000001,Saturday,5,1,8,0,Banco Aurora,operational
2025-03-09,ACC-001,COP,2691582543.7,0.0,0.0,0.0,Sunday,6,1,9,0,Banco Aurora,operational
2025-03-10,ACC-001,COP,2651916163.3294377,101843686.29,142527812.39,-40684126.09999998,Monday,0,0,10,0,Banco Aurora,operational
2025-03-11,ACC-001,COP,2585833800.519438,211855221.56,277937584.37,-66082362.81,Tuesday,1,0,11,0,Banco Aurora,operational
2025-03-12,ACC-001,COP,2670370077.08,104323785.55,18769763.27,85554022.28,Wednesday,2,0,12,0,Banco Aurora,operational
2025-03-13,ACC-001,COP,2567046017.65,0.0,103324059.42,-103324059.42,Thursday,3,0,13,0,Banco Aurora,operational
2025-03-14,ACC-001,COP,2536396525.6,24839950.5,55489442.55,-30649492.049999997,Friday,4,0,14,0,Banco Aurora,operational
2025-03-15,ACC-001,COP,2512858187.95,0.0,23538337.65,-23538337.65,Saturday,5,1,15,0,Banco Aurora,operational
2025-03-16,ACC-001,COP,2567948310.72,97120727.03,42030604.27,55090122.76,Sunday,6,1,16,0,Banco Aurora,operational
2025-03-17,ACC-001,COP,2619115895.18,66854297.78,15686713.32,51167584.46,Monday,0,0,17,0,Banco Aurora,operational
2025-03-18,ACC-001,COP,695341079.6585962,0.0,147648863.96102852,-147648863.96102852,Tuesday,1,0,18,0,Banco Aurora,operational
2025-03-19,ACC-001,COP,662282609.7035729,73562705.86,555749382.0465696,-482186676.1865696,Wednesday,2,0,19,0,Banco Aurora,operational
2025-03-20,ACC-001,COP,646843726.0330685,81316263.97,392965149.6504122,-311648885.6804122,Thursday,3,0,20,0,Banco Aurora,operational
2025-03-21,ACC-001,COP,2424256729.37,41833770.35,5675090.15,36158680.2,Friday,4,0,21,0,Banco Aurora,operational
2025-03-22,ACC-001,COP,2424256729.37,0.0,0.0,0.0,Saturday,5,1,22,0,Banco Aurora,operational
2025-03-23,ACC-001,COP,2582346736.92,158090007.56,0.0,158090007.56,Sunday,6,1,23,0,Banco Aurora,operational
2025-03-24,ACC-001,COP,2689605566.23,131602148.59,24343319.28,107258829.31,Monday,0,0,24,0,Banco Aurora,operational
2025-03-25,ACC-001,COP,2720981297.59,143327266.01,111951534.65,31375731.359999985,Tuesday,1,0,25,0,Banco Aurora,operational
2025-03-26,ACC-001,COP,2707656967.02,70974219.18,84298549.74,-13324330.559999987,Wednesday,2,0,26,0,Banco Aurora,operational
2025-03-27,ACC-001,COP,2627722878.85,36906197.37,116840285.55,-79934088.18,Thursday,3,0,27,0,Banco Aurora,operational
2025-03-28,ACC-001,COP,2673091978.22,48942423.85,3573324.48,45369099.370000005,Friday,4,0,28,0,Banco Aurora,operational
2025-03-29,ACC-001,COP,2627342816.44,0.0,45749161.78,-45749161.78,Saturday,5,1,29,0,Banco Aurora,operational
2025-03-30,ACC-001,COP,2718452473.5,135248465.52,44138808.47,91109657.05000001,Sunday,6,1,30,0,Banco Aurora,operational
2025-03-31,ACC-001,COP,2685527632.87,73490757.93,106415598.56,-32924840.629999995,Monday,0,0,31,1,Banco Aurora,operational
2025-04-01,ACC-001,COP,2753110227.51,168248423.13,100665828.49,67582594.64,Tuesday,1,0,1,0,Banco Aurora,operational
2025-04-02,ACC-001,COP,2643177438.95,54310107.78,164242896.34,-109932788.56,Wednesday,2,0,2,0,Banco Aurora,operational
2025-04-03,ACC-001,COP,2564741177.95,107627306.79,186063567.79,-78436260.99999999,Thursday,3,0,3,0,Banco Aurora,operational
2025-04-04,ACC-001,COP,2649871571.92,88690958.0,3560564.02,85130393.98,Friday,4,0,4,0,Banco Aurora,operational
2025-04-05,ACC-001,COP,2506584540.92,0.0,143287030.99,-143287030.99,Saturday,5,1,5,0,Banco Aurora,operational
2025-04-06,ACC-001,COP,2623841621.65,138091860.73,20834780.0,117257080.72999999,Sunday,6,1,6,0,Banco Aurora,operational
2025-04-07,ACC-001,COP,2497593408.32,53579677.610000074,179827890.94,-126248213.32999992,Monday,0,0,7,0,Banco Aurora,operational
2025-04-08,ACC-001,COP,2479341079.17,5804052.3,24056381.45,-18252329.15,Tuesday,1,0,8,0,Banco Aurora,operational
2025-04-09,ACC-001,COP,2538717078.02,114255896.11,54879897.25,59375998.86,Wednesday,2,0,9,0,Banco Aurora,operational
2025-04-10,ACC-001,COP,2543687951.55,75836438.08,70865564.55,4970873.530000001,Thursday,3,0,10,0,Banco Aurora,operational
2025-04-11,ACC-001,COP,2470562817.14,97777746.36,170902880.77,-73125134.41000001,Friday,4,0,11,0,Banco Aurora,operational
2025-04-12,ACC-001,COP,2434408978.48,35241646.38,71395485.04,-36153838.660000004,Saturday,5,1,12,0,Banco Aurora,operational
2025-04-13,ACC-001,COP,2406213556.43,0.0,28195422.05,-28195422.05,Sunday,6,1,13,0,Banco Aurora,operational
2025-04-14,ACC-001,COP,2423994439.35,21461604.0,3680721.09,17780882.91,Monday,0,0,14,0,Banco Aurora,operational
2025-04-15,ACC-001,COP,2386178373.17,19503921.82,57319988.0,-37816066.18,Tuesday,1,0,15,0,Banco Aurora,operational
2025-04-16,ACC-001,COP,2512401395.32,126223022.16,0.0,126223022.16,Wednesday,2,0,16,0,Banco Aurora,operational
2025-04-17,ACC-001,COP,2539711256.65,77296006.98,49986145.65,27309861.330000006,Thursday,3,0,17,0,Banco Aurora,operational
2025-04-18,ACC-001,COP,2450159074.56,55386461.54,144938643.63,-89552182.09,Friday,4,0,18,0,Banco Aurora,operational
2025-04-19,ACC-001,COP,2399239705.1,62363619.42,113282988.89,-50919369.47,Saturday,5,1,19,0,Banco Aurora,operational
2025-04-20,ACC-001,COP,2418763177.55,19523472.45,0.0,19523472.45,Sunday,6,1,20,0,Banco Aurora,operational
2025-04-21,ACC-001,COP,2385725556.88,59026358.75,92063979.42,-33037620.67,Monday,0,0,21,0,Banco Aurora,operational
2025-04-22,ACC-001,COP,2456161803.55,82103156.05,11666909.38,70436246.67,Tuesday,1,0,22,0,Banco Aurora,operational
2025-04-23,ACC-001,COP,2442791775.9,79241292.7399999,92611320.39,-13370027.650000095,Wednesday,2,0,23,0,Banco Aurora,operational
2025-04-24,ACC-001,COP,2477029299.7,227025375.15,192787851.36,34237523.78999999,Thursday,3,0,24,0,Banco Aurora,operational
2025-04-25,ACC-001,COP,2437033946.79,21473159.51,61468512.42,-39995352.91,Friday,4,0,25,0,Banco Aurora,operational
2025-04-26,ACC-001,COP,2437033946.79,0.0,0.0,0.0,Saturday,5,1,26,0,Banco Aurora,operational
2025-04-27,ACC-001,COP,2380845167.1,48472910.05,104661689.74000005,-56188779.69000006,Sunday,6,1,27,0,Banco Aurora,operational
2025-04-28,ACC-001,COP,2371623118.24,28029461.73,37251510.59,-9222048.860000003,Monday,0,0,28,0,Banco Aurora,operational
2025-04-29,ACC-001,COP,2305375734.8900003,0.0,66247383.34,-66247383.34,Tuesday,1,0,29,0,Banco Aurora,operational
2025-04-30,ACC-001,COP,2270047293.51,7929661.91,43258103.29,-35328441.379999995,Wednesday,2,0,30,1,Banco Aurora,operational
2025-05-01,ACC-001,COP,2221093824.42,18338532.9,67292001.99,-48953469.089999996,Thursday,3,0,1,0,Banco Aurora,operational
2025-05-02,ACC-001,COP,2221093824.42,0.0,0.0,0.0,Friday,4,0,2,0,Banco Aurora,operational
2025-05-03,ACC-001,COP,2365978390.6,144884566.17,0.0,144884566.17,Saturday,5,1,3,0,Banco Aurora,operational
2025-05-04,ACC-001,COP,2227041424.36,0.0,138936966.23,-138936966.23,Sunday,6,1,4,0,Banco Aurora,operational
2025-05-05,ACC-001,COP,2449558150.02,228553865.89,6037140.23,222516725.66,Monday,0,0,5,0,Banco Aurora,operational
2025-05-06,ACC-001,COP,2401191348.3,50935563.67,99302365.38999979,-48366801.71999979,Tuesday,1,0,6,0,Banco Aurora,operational
2025-05-07,ACC-001,COP,2559403128.26,175809086.14,17597306.18,158211779.95999998,Wednesday,2,0,7,0,Banco Aurora,operational
2025-05-08,ACC-001,COP,2488852194.25,61087971.69,131638905.7,-70550934.01,Thursday,3,0,8,0,Banco Aurora,operational
2025-05-09,ACC-001,COP,2534331123.9,101717278.29,56238348.63,45478929.660000004,Friday,4,0,9,0,Banco Aurora,operational
2025-05-10,ACC-001,COP,2556264304.79,21933180.89,0.0,21933180.89,Saturday,5,1,10,0,Banco Aurora,operational
2025-05-11,ACC-001,COP,2556022338.14,15454295.66,15696262.3,-241966.6400000006,Sunday,6,1,11,0,Banco Aurora,operational
2025-05-12,ACC-001,COP,2601231798.48,91516455.75000015,46306995.41,45209460.34000015,Monday,0,0,12,0,Banco Aurora,operational
2025-05-13,ACC-001,COP,2560836145.15,108701478.93,149097132.25,-40395653.31999999,Tuesday,1,0,13,0,Banco Aurora,operational
2025-05-14,ACC-001,COP,2543145435.75,86775810.36,104466519.77,-17690709.409999996,Wednesday,2,0,14,0,Banco Aurora,operational
2025-05-15,ACC-001,COP,2541433323.77,79673907.56,81386019.54,-1712111.9800000042,Thursday,3,0,15,0,Banco Aurora,operational
2025-05-16,ACC-001,COP,2470396939.75,30398208.93,101434592.95,-71036384.02000001,Friday,4,0,16,0,Banco Aurora,operational
2025-05-17,ACC-001,COP,2333138294.7,23636350.4,160894995.45,-137258645.04999998,Saturday,5,1,17,0,Banco Aurora,operational
2025-05-18,ACC-001,COP,2400537314.23,119769023.89,52370004.36,67399019.53,Sunday,6,1,18,0,Banco Aurora,operational
2025-05-19,ACC-001,COP,2416744336.5249834,26222436.81,10057562.87,16164873.94,Monday,0,0,19,0,Banco Aurora,operational
2025-05-20,ACC-001,COP,2467960062.63,51215726.10501671,0.0,51215726.10501671,Tuesday,1,0,20,0,Banco Aurora,operational
2025-05-21,ACC-001,COP,2571623233.11,103663170.48,0.0,103663170.48,Wednesday,2,0,21,0,Banco Aurora,operational
2025-05-22,ACC-001,COP,2596890597.82,136774255.65,111506890.94,25267364.71000001,Thursday,3,0,22,0,Banco Aurora,operational
2025-05-23,ACC-001,COP,2550217600.0,5815042.84,52488040.65,-46672997.81,Friday,4,0,23,0,Banco Aurora,operational
2025-05-24,ACC-001,COP,2561645788.51,47416017.6,35987829.09,11428188.509999998,Saturday,5,1,24,0,Banco Aurora,operational
2025-05-25,ACC-001,COP,2547513001.84,12028772.27,26161558.94,-14132786.670000002,Sunday,6,1,25,0,Banco Aurora,operational
2025-05-26,ACC-001,COP,2516653710.08,60377498.88,91236790.64,-30859291.759999998,Monday,0,0,26,0,Banco Aurora,operational
2025-05-27,ACC-001,COP,2684734214.71,168080504.63,0.0,168080504.63,Tuesday,1,0,27,0,Banco Aurora,operational
2025-05-28,ACC-001,COP,2651620522.63,64645026.22,97758718.3,-33113692.08,Wednesday,2,0,28,0,Banco Aurora,operational
2025-05-29,ACC-001,COP,2690593283.44,99170209.12,60197448.31,38972760.81,Thursday,3,0,29,0,Banco Aurora,operational
2025-05-30,ACC-001,COP,2582431737.23,0.0,108161546.21,-108161546.21,Friday,4,0,30,0,Banco Aurora,operational
2025-05-31,ACC-001,COP,2724940018.44,142508281.21000004,0.0,142508281.21000004,Saturday,5,1,31,1,Banco Aurora,operational
2025-06-01,ACC-001,COP,2803987342.7,91546268.31,12498944.05,79047324.26,Sunday,6,1,1,0,Banco Aurora,operational
2025-06-02,ACC-001,COP,2867888403.21,79820803.04,15919742.54,63901060.50000001,Monday,0,0,2,0,Banco Aurora,operational
2025-06-03,ACC-001,COP,2744963481.53,62057077.64,184981999.32,-122924921.67999999,Tuesday,1,0,3,0,Banco Aurora,operational
2025-06-04,ACC-001,COP,2660579436.22,122333088.48999959,206717133.8,-84384045.31000042,Wednesday,2,0,4,0,Banco Aurora,operational
2025-06-05,ACC-001,COP,2704367599.12,158132329.58,114344166.68,43788162.900000006,Thursday,3,0,5,0,Banco Aurora,operational
2025-06-06,ACC-001,COP,2787184892.75,199037028.67000014,116219735.04,82817293.63000013,Friday,4,0,6,0,Banco Aurora,operational
2025-06-07,ACC-001,COP,2863314000.31,91140122.16,15011014.59,76129107.57,Saturday,5,1,7,0,Banco Aurora,operational
2025-06-08,ACC-001,COP,2902437307.47,39123307.16,0.0,39123307.16,Sunday,6,1,8,0,Banco Aurora,operational
2025-06-09,ACC-001,COP,3053936376.0,158878252.49,7379183.96,151499068.53,Monday,0,0,9,0,Banco Aurora,operational
2025-06-10,ACC-001,COP,3122115612.48,151349295.52,83170059.04,68179236.48,Tuesday,1,0,10,0,Banco Aurora,operational
2025-06-11,ACC-001,COP,3148683107.35,185082689.29,158515194.42,26567494.870000005,Wednesday,2,0,11,0,Banco Aurora,operational
2025-06-12,ACC-001,COP,3228177238.03,237776438.25,158282307.57,79494130.68,Thursday,3,0,12,0,Banco Aurora,operational
2025-06-13,ACC-001,COP,3130278984.13,0.0,97898253.9,-97898253.9,Friday,4,0,13,0,Banco Aurora,operational
2025-06-14,ACC-001,COP,3130278984.13,0.0,0.0,0.0,Saturday,5,1,14,0,Banco Aurora,operational
2025-06-15,ACC-001,COP,3196147458.82,155827512.93,89959038.25,65868474.68000001,Sunday,6,1,15,0,Banco Aurora,operational
2025-06-16,ACC-001,COP,3214907800.69,40037305.93,21276964.060000114,18760341.869999886,Monday,0,0,16,0,Banco Aurora,operational
2025-06-17,ACC-001,COP,3308890988.1,99082019.17,5098831.77,93983187.4,Tuesday,1,0,17,0,Banco Aurora,operational
2025-06-18,ACC-001,COP,3220944822.51,43748479.25,131694644.83,-87946165.58,Wednesday,2,0,18,0,Banco Aurora,operational
2025-06-19,ACC-001,COP,3258513163.09,189658252.7,152089912.12000006,37568340.57999992,Thursday,3,0,19,0,Banco Aurora,operational
2025-06-20,ACC-001,COP,3129446167.05,0.0,129066996.04,-129066996.04,Friday,4,0,20,0,Banco Aurora,operational
2025-06-21,ACC-001,COP,3100197055.68,43188983.75,72438095.12,-29249111.370000005,Saturday,5,1,21,0,Banco Aurora,operational
2025-06-22,ACC-001,COP,3262663632.76,162466577.08,0.0,162466577.08,Sunday,6,1,22,0,Banco Aurora,operational
2025-06-23,ACC-001,COP,3159725800.04,49665617.77,152603450.49,-102937832.72,Monday,0,0,23,0,Banco Aurora,operational
2025-06-24,ACC-001,COP,2942024717.27,0.0,217701082.77,-217701082.77,Tuesday,1,0,24,0,Banco Aurora,operational
2025-06-25,ACC-001,COP,2900966749.03,115353598.0,156411566.24,-41057968.24000001,Wednesday,2,0,25,0,Banco Aurora,operational
2025-06-26,ACC-001,COP,2794740065.93,45621788.03,151848471.12,-106226683.09,Thursday,3,0,26,0,Banco Aurora,operational
2025-06-27,ACC-001,COP,2847532254.14,158494708.65,105702520.44,52792188.21000001,Friday,4,0,27,0,Banco Aurora,operational
2025-06-28,ACC-001,COP,2842695553.56,50856989.61,55693690.19,-4836700.579999998,Saturday,5,1,28,0,Banco Aurora,operational
2025-06-29,ACC-001,COP,2816793528.55,0.0,25902025.009999752,-25902025.009999752,Sunday,6,1,29,0,Banco Aurora,operational
2025-06-30,ACC-001,COP,2773420795.54,73763193.8,117135926.81,-43372733.010000005,Monday,0,0,30,1,Banco Aurora,operational
2025-07-01,ACC-001,COP,2910591437.47,152525957.82,15355315.89,137170641.93,Tuesday,1,0,1,0,Banco Aurora,operational
2025-07-02,ACC-001,COP,2787876203.46,78221487.79,200936721.8,-122715234.01,Wednesday,2,0,2,0,Banco Aurora,operational
2025-07-03,ACC-001,COP,2787782934.26,31810487.9,31903757.1,-93269.20000000298,Thursday,3,0,3,0,Banco Aurora,operational
2025-07-04,ACC-001,COP,2737457946.52,97733131.75,148058119.5,-50324987.75,Friday,4,0,4,0,Banco Aurora,operational
2025-07-05,ACC-001,COP,2645100595.6,33631454.02,125988804.94,-92357350.91999999,Saturday,5,1,5,0,Banco Aurora,operational
2025-07-06,ACC-001,COP,2643974702.96,88398863.99,89524756.63,-1125892.6400000006,Sunday,6,1,6,0,Banco Aurora,operational
2025-07-07,ACC-001,COP,2521457105.99,115945991.39,238463588.36,-122517596.97000001,Monday,0,0,7,0,Banco Aurora,operational
2025-07-08,ACC-001,COP,2584168159.21,62711053.22,0.0,62711053.22,Tuesday,1,0,8,0,Banco Aurora,operational
2025-07-09,ACC-001,COP,2712210706.3,181166620.78,53124073.7,128042547.08,Wednesday,2,0,9,0,Banco Aurora,operational
2025-07-10,ACC-001,COP,2625306712.59,88681183.59,175585177.3,-86903993.71000001,Thursday,3,0,10,0,Banco Aurora,operational
2025-07-11,ACC-001,COP,2623445843.62,0.0,1860868.98,-1860868.98,Friday,4,0,11,0,Banco Aurora,operational
2025-07-12,ACC-001,COP,2623445843.62,0.0,0.0,0.0,Saturday,5,1,12,0,Banco Aurora,operational
2025-07-13,ACC-001,COP,2615801697.17,60315420.79,67959567.24,-7644146.4499999955,Sunday,6,1,13,0,Banco Aurora,operational
2025-07-14,ACC-001,COP,2712342709.77,96541012.59,0.0,96541012.59,Monday,0,0,14,0,Banco Aurora,operational
2025-07-15,ACC-001,COP,2621862104.28,0.0,90480605.49,-90480605.49,Tuesday,1,0,15,0,Banco Aurora,operational
2025-07-16,ACC-001,COP,2555583933.81,47732570.52,114010740.99,-66278170.46999999,Wednesday,2,0,16,0,Banco Aurora,operational
2025-07-17,ACC-001,COP,2586488111.61,121515053.25,90610875.45,30904177.799999997,Thursday,3,0,17,0,Banco Aurora,operational
2025-07-18,ACC-001,COP,2615645702.74,126746523.06,97588931.93000036,29157591.129999638,Friday,4,0,18,0,Banco Aurora,operational
2025-07-19,ACC-001,COP,2682811747.5023,66049285.17,0.0,66049285.17,Saturday,5,1,19,0,Banco Aurora,operational
2025-07-20,ACC-001,COP,2654315719.41,20138764.15,47518032.65,-27379268.5,Sunday,6,1,20,0,Banco Aurora,operational
2025-07-21,ACC-001,COP,2729583463.31,134078012.35,58810268.45,75267743.89999999,Monday,0,0,21,0,Banco Aurora,operational
2025-07-22,ACC-001,COP,2777829263.71,117451741.97,69205941.57,48245800.400000006,Tuesday,1,0,22,0,Banco Aurora,operational
2025-07-23,ACC-001,COP,2706504246.63,75172076.11,146497093.18,-71325017.07000001,Wednesday,2,0,23,0,Banco Aurora,operational
2025-07-24,ACC-001,COP,2706504246.63,0.0,0.0,0.0,Thursday,3,0,24,0,Banco Aurora,operational
2025-07-25,ACC-001,COP,2706504246.63,0.0,0.0,0.0,Friday,4,0,25,0,Banco Aurora,operational
2025-07-26,ACC-001,COP,2621152341.47,0.0,85351905.16,-85351905.16,Saturday,5,1,26,0,Banco Aurora,operational
2025-07-27,ACC-001,COP,2587426357.75,12785714.66,46511698.38,-33725983.72,Sunday,6,1,27,0,Banco Aurora,operational
2025-07-28,ACC-001,COP,2566826004.2,148079542.24,168679895.78,-20600353.53999999,Monday,0,0,28,0,Banco Aurora,operational
